Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Nueva Autopista,"Nueva Autopista, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños59 m²,$ 368.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños55 m²,$ 382.000.000
Apartamento,Apartamento en venta en Las Nieves,"Las Nieves, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño35 m²,$ 295.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño39 m²,$ 155.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 83 m²,$ 404.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños242 m²,$ 1.250.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños57 m²,$ 395.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 205.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños66 m²,$ 453.500.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños76 / 75 m²,$ 262.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño43 m²,$ 270.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación2 baños54 m²,$ 420.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños43 / 42 m²,$ 162.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño50 m²,$ 350.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 384.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones6 baños307 m²,$ 1.500.000.000
Casa,Casa en venta en Madelena,"Madelena, Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",6 habitaciones4 baños306 / 102 m²,$ 650.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños47 / 47 m²,$ 250.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 280.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños87 m²,$ 560.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño56 / 56 m²,$ 200.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño490 m²,$ 1.700.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños121 / 121 m²,$ 500.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño24 / 24 m²,$ 74.300.000
Oficina/Consultorio,Oficina/Consultorio en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños57 / 57 m²,$ 144.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 / 68 m²,$ 140.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños24 / 24 m²,$ 60.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños85 m²,$ 400.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",7 habitaciones4 baños72 / 72 m²,$ 320.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños300 m²,$ 950.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños320 m²,$ 1.900.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños221 / 221 m²,$ 1.120.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños94 / 94 m²,$ 550.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños58 m²,$ 260.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños91 / 91 m²,$ 450.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños75 / 75 m²,$ 440.000.000
Edificio,Edificio en venta en Villas De Granada,"Villas De Granada, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",6 habitaciones3 baños260 / 260 m²,$ 1.350.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños140 m²,$ 480.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",6 habitaciones3 baños168 / 168 m²,$ 568.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño47 / 47 m²,$ 145.000.000
Edificio,Edificio en venta en Veraguas,"Veraguas, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",9 habitaciones15 baños1200 / 240 m²,$ 3.000.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño56 / 56 m²,$ 155.000.000
Apartamento,Apartamento en venta en Las Nieves,"Las Nieves, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 / 67 m²,$ 320.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño45 / 45 m²,$ 136.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 m²,$ 395.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",8 habitaciones4 baños120 / 120 m²,$ 860.000.000
Apartamento,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones5 baños277 / 277 m²,$ 2.700.000.000
Apartamento,Apartamento en venta en Quinta Paredes,"Quinta Paredes, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños72 / 72 m²,$ 390.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones4 baños237 / 237 m²,$ 995.000.000
Apartamento,Apartamento en venta en Metropolis,"Metropolis, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños91 / 89 m²,$ 390.000.000
Edificio,Edificio en venta en Restrepo,"Restrepo, Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",12 habitaciones7 baños365 / 122 m²,$ 1.500.000.000
Local,Local en venta en Veraguas,"Veraguas, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",2 habitaciones1 baño162 / 89 m²,$ 700.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 / 67 m²,$ 470.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones4 baños237 / 237 m²,$ 995.000.000
Apartamento,Apartamento en venta en Metropolis,"Metropolis, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños91 / 89 m²,$ 390.000.000
Edificio,Edificio en venta en Restrepo,"Restrepo, Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",12 habitaciones7 baños365 / 122 m²,$ 1.500.000.000
Local,Local en venta en Veraguas,"Veraguas, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",2 habitaciones1 baño162 / 89 m²,$ 700.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 / 67 m²,$ 470.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño70 / 70 m²,$ 140.000.000
Edificio,Edificio en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",13 habitaciones6 baños120 / 120 m²,$ 1.700.000.000
Casa,Casa en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",8 habitaciones3 baños290 / 98 m²,$ 2.500.000.000
Casa,Casa en venta en Bosque Popular,"Bosque Popular, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños150 / 75 m²,$ 750.000.000
Casa,Casa en venta en Madelena,"Madelena, Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",4 habitaciones3 baños195 / 65 m²,$ 280.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño44 / 48 m²,$ 140.000.000
Casa,Casa en venta en Los Mártires,"Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",5 habitaciones6 baños320 / 320 m²,$ 850.000.000
Casa,Casa en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",8 habitaciones4 baños550 / 390 m²,$ 1.300.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Las Aguas,"Las Aguas, La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño25 / 25 m²,$ 90.000.000
Casa,Casa en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",10 habitaciones2 baños270 / 270 m²,$ 3.000.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños57 / 63 m²,$ 500.000.000
Apartamento,Apartamento en venta en Tunjuelito,"Tunjuelito, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño51 / 51 m²,$ 120.000.000
Apartamento,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones5 baños277 / 277 m²,$ 2.500.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños330 / 2050 m²,$ 2.500.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños196 / 196 m²,$ 998.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños138 m²,$ 914.300.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños53 m²,$ 250.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños192 m²,$ 850.000.000
Casa,Casa en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones6 baños237 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Sotavento,"Sotavento, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños57 m²,$ 280.000.000
Apartamento,Apartamento en venta en Pasadena ,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños115 m²,$ 580.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños43 m²,$ 170.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños66 m²,$ 237.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 245.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 m²,$ 181.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños103 m²,$ 520.000.000
Apartamento,Apartamento en venta en El Salitre,"El Salitre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 m²,$ 229.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño41 m²,$ 135.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",9 habitaciones9 baños443 m²,$ 800.000.000
Casa,Casa en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños67 m²,$ 150.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños104 m²,$ 596.000.000
Casa,Casa en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",9 habitaciones5 baños236 m²,$ 870.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 m²,$ 320.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",8 habitaciones4 baños314 m²,$ 1.690.000.000
Casa,Casa en venta en Modelia,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños320 m²,$ 750.000.000
Casa,Casa en venta en Modelia,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños320 m²,$ 750.000.000
Casa,Casa en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños286 m²,$ 1.070.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones5 baños166 m²,$ 1.250.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",8 habitaciones4 baños314 m²,$ 1.690.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones5 baños200 m²,$ 680.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños131 m²,$ 750.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños124 m²,$ 800.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",7 habitaciones4 baños330 m²,$ 700.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones3 baños195 m²,$ 640.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños103 m²,$ 618.000.000
Casa,Casa en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños286 m²,$ 1.070.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 m²,$ 320.000.000
Bodega,Bodega en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño19 m²,$ 120.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños104 m²,$ 596.000.000
Casa,Casa en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños190 m²,$ 897.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",8 habitaciones3 baños288 m²,$ 610.000.000
Casa,Casa en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",5 habitaciones4 baños364 m²,$ 750.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños80 m²,$ 320.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 m²,$ 310.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños144 m²,$ 980.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños48 m²,$ 117.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 127.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 120.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños346 m²,$ 3.627.099.904
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño51 m²,$ 98.000.000
Apartamento,Apartamento en venta en Quinta Camacho,"Quinta Camacho, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños162 m²,$ 1.450.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños80 m²,$ 260.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños132 m²,$ 264.710.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños81 m²,$ 262.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños74 m²,$ 320.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 229.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 m²,$ 360.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños58 m²,$ 285.500.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 252.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños82 m²,$ 252.000.000
Finca,Finca en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",6 habitaciones6 baños1596 m²,$ 939.275.008
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño53 m²,$ 435.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 240.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",1 habitación2 baños44 m²,$ 260.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños52 m²,$ 125.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 230.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 102.000.000
Casa,Casa en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños102 m²,$ 550.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños84 m²,$ 265.700.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños74 m²,$ 474.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 215.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 176.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 m²,$ 144.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones1 baño45 m²,$ 170.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños117 m²,$ 500.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 215.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 176.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 m²,$ 144.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones1 baño45 m²,$ 170.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños117 m²,$ 500.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 232.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños101 m²,$ 420.500.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños93 m²,$ 409.500.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños147 m²,$ 480.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños76 m²,$ 315.000.000
Casa,Casa en venta en Niza,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños228 / 228 m²,$ 990.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños81 m²,$ 670.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños109 m²,$ 975.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños90 / 90 m²,$ 1.600.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños205 / 205 m²,$ 1.450.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño58 / 58 m²,$ 633.710.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños250 / 250 m²,$ 1.900.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño68 / 68 m²,$ 743.710.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño58 / 58 m²,$ 633.710.000
Casa,Casa en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",11 habitaciones4 baños526 / 577 m²,$ 2.400.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños192 / 202 m²,$ 1.550.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones5 baños381 m²,$ 8.358.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño68 / 68 m²,$ 743.710.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño76 / 76 m²,$ 834.460.000
